date,city,country,pm25,pm10,o3,no2,so2,co,no,nh3
2026-04-10T22:30:00+00:00,Delhi,IN,22.39,48.39,92.32,11.45,3.65,337.61,0.0,26.24
2026-04-10T23:30:00+00:00,Delhi,IN,23.55,51.17,88.95,11.25,3.43,343.34,0.0,27.64
2026-04-11T00:30:00+00:00,Delhi,IN,23.9,52.71,86.85,9.79,2.95,328.47,0.0,28.07
2026-04-11T01:30:00+00:00,Delhi,IN,24.47,54.5,84.66,7.98,2.53,315.76,0.0,29.26
2026-04-11T02:30:00+00:00,Delhi,IN,25.1,56.57,82.17,6.63,2.25,306.37,0.0,30.58
2026-04-11T03:30:00+00:00,Delhi,IN,25.77,58.64,79.47,5.7,2.09,300.14,0.0,31.87
2026-04-11T04:30:00+00:00,Delhi,IN,26.82,60.96,76.78,5.18,2.05,296.84,0.0,33.24
2026-04-11T05:30:00+00:00,Delhi,IN,27.89,63.12,73.75,5.14,2.12,297.83,0.0,34.85
2026-04-11T06:30:00+00:00,Delhi,IN,28.56,64.75,70.1,5.92,2.41,305.01,0.0,36.05
2026-04-11T07:30:00+00:00,Delhi,IN,29.2,66.89,67.72,7.77,3.09,327.42,0.33,35.47
2026-04-11T08:30:00+00:00,Delhi,IN,30.47,68.95,74.83,8.16,4.07,347.48,1.31,33.1
2026-04-11T09:30:00+00:00,Delhi,IN,32.43,69.81,110.22,4.88,5.62,313.68,0.79,25.45
2026-04-11T10:30:00+00:00,Delhi,IN,36.38,71.46,131.39,3.26,5.66,316.81,0.49,24.71
2026-04-11T11:30:00+00:00,Delhi,IN,41.07,74.02,150.89,2.22,5.43,320.22,0.3,24.29
2026-04-11T12:30:00+00:00,Delhi,IN,31.18,67.1,154.3,0.93,3.67,229.02,0.12,10.39
2026-04-11T13:30:00+00:00,Delhi,IN,26.68,63.84,148.97,0.7,2.77,187.9,0.09,6.47
2026-04-11T14:30:00+00:00,Delhi,IN,25.39,62.66,146.16,0.73,2.5,175.31,0.09,5.69
2026-04-11T15:30:00+00:00,Delhi,IN,25.39,62.91,146.03,1.09,2.45,175.42,0.12,6.54
2026-04-11T16:30:00+00:00,Delhi,IN,25.64,62.69,143.79,1.89,2.48,182.03,0.16,8.49
2026-04-11T17:30:00+00:00,Delhi,IN,25.73,62.71,139.66,3.14,2.54,190.57,0.15,10.2
2026-04-11T18:30:00+00:00,Delhi,IN,26.5,63.35,126.34,6.31,2.81,218.95,0.06,15.24
2026-04-11T19:30:00+00:00,Delhi,IN,28.16,65.05,108.83,9.45,3.24,264.84,0.0,22.52
2026-04-11T20:30:00+00:00,Delhi,IN,29.97,67.15,95.97,11.4,3.57,307.82,0.0,28.82
2026-04-11T21:30:00+00:00,Delhi,IN,31.08,67.5,84.77,12.27,3.6,338.9,0.0,33.84
2026-04-11T22:30:00+00:00,Delhi,IN,32.65,68.72,75.78,13.15,3.52,374.85,0.0,37.98
2026-04-11T23:30:00+00:00,Delhi,IN,34.05,69.6,68.16,13.86,3.25,406.25,0.0,41.12
2026-04-12T00:30:00+00:00,Delhi,IN,34.89,70.24,63.84,13.15,2.87,419.41,0.0,42.32
2026-04-12T01:30:00+00:00,Delhi,IN,37.67,73.33,58.98,12.47,2.85,446.11,0.0,43.41
2026-04-12T02:30:00+00:00,Delhi,IN,42.49,79.09,54.76,12.04,3.27,479.84,0.0,44.07
2026-04-12T03:30:00+00:00,Delhi,IN,47.25,83.85,49.48,11.84,3.47,512.44,0.0,44.73
2026-04-12T04:30:00+00:00,Delhi,IN,50.63,86.94,43.0,11.94,2.83,542.74,0.0,47.24
2026-04-12T05:30:00+00:00,Delhi,IN,53.16,90.21,38.73,11.97,2.43,558.01,0.0,50.57
2026-04-12T06:30:00+00:00,Delhi,IN,54.36,92.89,35.82,12.48,2.66,563.78,0.01,53.34
2026-04-12T07:30:00+00:00,Delhi,IN,55.58,95.96,35.82,13.13,3.75,585.49,1.1,51.82
2026-04-12T08:30:00+00:00,Delhi,IN,58.25,99.08,49.22,12.21,6.27,596.61,3.02,46.49
2026-04-12T09:30:00+00:00,Delhi,IN,62.9,100.19,100.83,7.64,19.53,464.98,1.35,30.28
2026-04-12T10:30:00+00:00,Delhi,IN,66.91,102.21,134.36,4.99,19.37,427.95,0.74,28.27
2026-04-12T11:30:00+00:00,Delhi,IN,64.93,98.26,161.18,3.15,17.5,386.05,0.4,27.28
2026-04-12T12:30:00+00:00,Delhi,IN,28.56,55.51,149.22,1.03,7.04,210.95,0.15,9.77
2026-04-12T13:30:00+00:00,Delhi,IN,18.8,39.06,140.53,0.73,3.08,174.47,0.11,6.1
2026-04-12T14:30:00+00:00,Delhi,IN,15.94,33.39,138.88,0.74,2.01,167.74,0.11,5.72
2026-04-12T15:30:00+00:00,Delhi,IN,14.75,31.11,139.96,0.9,1.53,168.5,0.12,6.19
2026-04-12T16:30:00+00:00,Delhi,IN,14.34,30.3,140.7,1.34,1.39,173.18,0.15,7.38
2026-04-12T17:30:00+00:00,Delhi,IN,14.08,29.93,139.49,2.1,1.41,179.87,0.15,8.53
2026-04-12T18:30:00+00:00,Delhi,IN,14.58,30.4,126.99,5.33,1.79,209.87,0.09,13.95
2026-04-12T19:30:00+00:00,Delhi,IN,15.92,32.44,109.48,8.84,2.47,258.92,0.0,21.66
2026-04-12T20:30:00+00:00,Delhi,IN,17.37,35.02,97.31,10.78,3.01,300.05,0.0,27.59
2026-04-12T21:30:00+00:00,Delhi,IN,18.24,36.45,87.56,11.47,3.22,324.09,0.0,31.35
2026-04-12T22:30:00+00:00,Delhi,IN,19.04,37.64,82.47,11.6,3.25,341.77,0.0,33.51
2026-04-12T23:30:00+00:00,Delhi,IN,19.28,37.63,79.87,11.09,2.99,343.72,0.0,34.25
2026-04-13T00:30:00+00:00,Delhi,IN,18.91,36.62,77.55,9.81,2.55,330.88,0.0,34.11
2026-04-13T01:30:00+00:00,Delhi,IN,19.12,36.87,74.54,8.84,2.35,329.31,0.0,35.37
2026-04-13T02:30:00+00:00,Delhi,IN,19.49,37.36,71.65,7.92,2.24,331.17,0.0,37.18
2026-04-13T03:30:00+00:00,Delhi,IN,20.09,38.05,67.77,7.32,2.15,334.66,0.0,39.49
2026-04-13T04:30:00+00:00,Delhi,IN,20.89,39.05,63.85,6.96,2.02,341.28,0.0,41.49
2026-04-13T05:30:00+00:00,Delhi,IN,21.92,40.43,61.44,6.92,1.93,346.88,0.0,42.56
2026-04-13T06:30:00+00:00,Delhi,IN,22.67,41.72,60.13,7.8,2.16,357.63,0.0,41.52
2026-04-13T07:30:00+00:00,Delhi,IN,23.67,43.96,61.39,10.3,3.06,390.36,0.6,39.3
2026-04-13T08:30:00+00:00,Delhi,IN,25.17,46.18,72.53,11.47,4.12,419.9,2.05,36.67
2026-04-13T09:30:00+00:00,Delhi,IN,26.34,44.47,118.42,7.03,6.82,340.84,1.15,25.07
2026-04-13T10:30:00+00:00,Delhi,IN,31.06,48.91,142.39,4.82,7.12,331.56,0.74,23.76
2026-04-13T11:30:00+00:00,Delhi,IN,38.49,56.16,166.3,3.18,6.93,324.5,0.42,22.77
2026-04-13T12:30:00+00:00,Delhi,IN,25.34,45.5,161.4,1.13,4.25,213.26,0.15,9.31
2026-04-13T13:30:00+00:00,Delhi,IN,21.66,45.81,152.13,0.83,2.76,180.77,0.12,6.29
2026-04-13T14:30:00+00:00,Delhi,IN,20.74,45.71,148.87,0.84,2.27,171.57,0.11,5.83
2026-04-13T15:30:00+00:00,Delhi,IN,20.84,46.41,149.38,1.12,2.1,172.84,0.14,6.5
2026-04-13T16:30:00+00:00,Delhi,IN,21.33,47.34,148.97,1.89,2.12,180.71,0.19,8.18
2026-04-13T17:30:00+00:00,Delhi,IN,21.65,48.13,146.8,3.13,2.21,191.44,0.2,9.84
2026-04-13T18:30:00+00:00,Delhi,IN,22.92,50.22,130.12,8.58,2.8,242.96,0.12,17.25
2026-04-13T19:30:00+00:00,Delhi,IN,25.46,54.83,106.48,14.63,3.85,327.15,0.0,27.58
2026-04-13T20:30:00+00:00,Delhi,IN,28.21,60.33,89.55,18.44,4.78,402.57,0.0,36.27
2026-04-13T21:30:00+00:00,Delhi,IN,30.32,64.68,78.83,20.62,5.55,455.43,0.0,48.1
2026-04-13T22:30:00+00:00,Delhi,IN,33.27,69.77,73.92,22.36,6.39,503.77,0.0,61.95
2026-04-13T23:30:00+00:00,Delhi,IN,36.16,73.38,69.99,22.89,6.69,531.26,0.0,72.8
2026-04-14T00:30:00+00:00,Delhi,IN,37.46,73.45,66.57,20.7,6.27,520.09,0.0,78.27
2026-04-14T01:30:00+00:00,Delhi,IN,38.86,73.98,65.65,17.53,5.84,504.15,0.0,82.0
2026-04-14T02:30:00+00:00,Delhi,IN,40.31,74.74,65.15,14.86,5.39,491.34,0.0,84.68
2026-04-14T03:30:00+00:00,Delhi,IN,41.17,74.76,61.73,12.79,4.61,480.75,0.0,79.56
2026-04-14T04:30:00+00:00,Delhi,IN,41.88,74.8,57.66,11.44,3.88,476.52,0.0,70.92
2026-04-14T05:30:00+00:00,Delhi,IN,42.34,74.17,54.85,11.0,3.43,476.52,0.0,64.4
2026-04-14T06:30:00+00:00,Delhi,IN,39.55,65.44,54.32,12.03,3.29,484.25,0.01,65.72
2026-04-14T07:30:00+00:00,Delhi,IN,39.27,66.18,51.45,14.73,3.92,523.64,0.92,60.4
2026-04-14T08:30:00+00:00,Delhi,IN,40.0,68.53,59.85,15.89,4.69,563.36,3.19,53.26
2026-04-14T09:30:00+00:00,Delhi,IN,37.27,64.44,110.44,10.67,8.49,435.68,1.72,34.97
2026-04-14T10:30:00+00:00,Delhi,IN,42.88,69.98,142.23,7.61,9.83,412.31,1.1,31.34
2026-04-14T11:30:00+00:00,Delhi,IN,55.36,83.04,177.99,5.19,9.95,411.96,0.6,30.71
2026-04-14T12:30:00+00:00,Delhi,IN,35.28,69.44,169.7,1.55,6.48,222.06,0.18,10.78
2026-04-14T13:30:00+00:00,Delhi,IN,30.79,69.58,157.65,1.12,4.14,179.46,0.12,6.61
2026-04-14T14:30:00+00:00,Delhi,IN,30.2,69.85,152.33,1.24,3.6,170.64,0.1,5.94
2026-04-14T15:30:00+00:00,Delhi,IN,30.88,71.11,148.97,2.42,3.62,181.36,0.17,8.31
2026-04-14T16:30:00+00:00,Delhi,IN,31.94,71.88,143.15,4.61,3.78,205.02,0.29,12.5
2026-04-14T17:30:00+00:00,Delhi,IN,32.57,71.98,135.49,7.59,3.91,230.85,0.29,15.77
2026-04-14T18:30:00+00:00,Delhi,IN,33.13,71.94,125.64,10.9,4.12,261.26,0.08,19.15
2026-04-14T19:30:00+00:00,Delhi,IN,34.29,72.64,117.04,12.7,4.54,297.69,0.0,23.53
2026-04-14T20:30:00+00:00,Delhi,IN,35.42,73.12,112.04,13.4,5.0,331.73,0.0,27.28
2026-04-14T21:30:00+00:00,Delhi,IN,36.18,71.54,100.91,14.71,5.41,372.76,0.0,31.89
2026-04-14T22:30:00+00:00,Delhi,IN,38.02,72.71,88.11,16.96,5.8,432.41,0.0,37.37
2026-04-14T23:30:00+00:00,Delhi,IN,39.16,74.14,79.53,17.79,5.62,465.97,0.0,40.08
2026-04-15T00:30:00+00:00,Delhi,IN,38.98,74.07,75.33,16.14,4.97,459.37,0.0,40.46
2026-04-15T01:30:00+00:00,Delhi,IN,38.72,73.8,73.5,13.29,4.43,444.22,0.0,40.16
2026-04-15T02:30:00+00:00,Delhi,IN,38.8,73.57,68.9,11.88,3.99,449.03,0.0,42.01
2026-04-15T03:30:00+00:00,Delhi,IN,40.08,74.63,60.17,12.17,3.68,484.39,0.0,45.87
2026-04-15T04:30:00+00:00,Delhi,IN,42.04,76.91,52.23,12.86,3.49,529.75,0.0,48.64
2026-04-15T05:30:00+00:00,Delhi,IN,44.6,80.06,46.59,13.8,3.47,570.93,0.0,49.97
2026-04-15T06:30:00+00:00,Delhi,IN,46.38,82.57,41.94,15.81,3.96,613.03,0.01,49.61
2026-04-15T07:30:00+00:00,Delhi,IN,47.36,85.12,40.85,18.98,5.72,672.88,1.1,48.23
2026-04-15T08:30:00+00:00,Delhi,IN,48.69,86.28,55.8,18.89,9.44,687.8,3.51,44.73
2026-04-15T09:30:00+00:00,Delhi,IN,53.19,87.43,95.94,15.63,18.14,604.35,3.02,38.03
2026-04-15T10:30:00+00:00,Delhi,IN,63.28,94.19,140.61,12.49,22.86,561.38,1.89,34.65
2026-04-15T11:30:00+00:00,Delhi,IN,76.17,103.64,194.01,7.99,25.01,512.99,0.87,31.99
2026-04-15T12:30:00+00:00,Delhi,IN,36.63,59.74,174.84,1.85,10.65,224.76,0.22,10.86
2026-04-15T13:30:00+00:00,Delhi,IN,27.29,51.27,161.15,1.08,5.55,174.02,0.14,7.2
2026-04-15T14:30:00+00:00,Delhi,IN,24.68,47.43,157.65,1.02,4.22,163.9,0.13,6.52
2026-04-15T15:30:00+00:00,Delhi,IN,24.13,46.13,157.35,1.57,3.68,168.82,0.18,7.98
2026-04-15T16:30:00+00:00,Delhi,IN,24.7,46.48,156.16,2.83,3.48,184.64,0.27,10.95
2026-04-15T17:30:00+00:00,Delhi,IN,25.0,46.91,151.45,4.85,3.39,203.44,0.29,13.51
2026-04-15T18:30:00+00:00,Delhi,IN,25.86,48.23,135.04,10.34,3.73,253.52,0.17,19.54
2026-04-15T19:30:00+00:00,Delhi,IN,27.73,51.32,113.75,15.87,4.48,328.19,0.0,27.36
2026-04-15T20:30:00+00:00,Delhi,IN,29.65,54.57,98.32,18.82,5.08,390.77,0.0,33.25
2026-04-15T21:30:00+00:00,Delhi,IN,30.83,56.34,85.34,19.95,5.34,432.74,0.0,37.47
2026-04-15T22:30:00+00:00,Delhi,IN,32.37,59.33,76.3,20.91,5.55,473.93,0.0,41.58
2026-04-15T23:30:00+00:00,Delhi,IN,33.21,61.13,70.31,21.14,5.31,492.79,0.0,45.09
2026-04-16T00:30:00+00:00,Delhi,IN,32.77,60.59,67.41,19.0,4.69,474.54,0.0,48.26
2026-04-16T01:30:00+00:00,Delhi,IN,32.72,60.74,66.48,15.71,4.22,453.16,0.0,50.37
2026-04-16T02:30:00+00:00,Delhi,IN,32.82,60.87,66.2,12.83,3.9,431.72,0.0,52.69
2026-04-16T03:30:00+00:00,Delhi,IN,33.12,60.85,67.21,10.41,3.67,408.25,0.0,55.02
2026-04-16T04:30:00+00:00,Delhi,IN,33.27,60.38,69.46,8.5,3.51,385.37,0.0,56.48
2026-04-16T05:30:00+00:00,Delhi,IN,33.34,59.67,72.68,7.36,3.4,363.03,0.0,56.45
2026-04-16T06:30:00+00:00,Delhi,IN,32.4,58.25,74.16,7.74,3.44,348.79,0.0,53.0
2026-04-16T07:30:00+00:00,Delhi,IN,32.28,59.66,73.32,10.97,3.85,375.05,0.42,47.86
2026-04-16T08:30:00+00:00,Delhi,IN,32.59,62.02,78.34,13.91,4.3,421.33,1.96,43.8
2026-04-16T09:30:00+00:00,Delhi,IN,32.83,63.99,110.12,10.97,4.52,382.57,1.74,33.06
2026-04-16T10:30:00+00:00,Delhi,IN,39.23,70.49,135.75,8.44,4.8,383.1,1.25,31.48
2026-04-16T11:30:00+00:00,Delhi,IN,53.09,84.29,172.05,5.75,4.83,385.24,0.67,31.37
2026-04-16T12:30:00+00:00,Delhi,IN,32.14,61.64,160.27,1.41,3.99,199.66,0.16,10.62
2026-04-16T13:30:00+00:00,Delhi,IN,27.9,59.54,150.18,1.01,3.19,165.86,0.11,7.17
2026-04-16T14:30:00+00:00,Delhi,IN,27.19,59.96,146.6,1.07,2.87,159.75,0.09,6.73
2026-04-16T15:30:00+00:00,Delhi,IN,28.1,61.54,138.03,4.17,3.12,190.26,0.21,12.58
2026-04-16T16:30:00+00:00,Delhi,IN,29.5,63.18,122.74,9.95,3.66,247.81,0.33,20.52
2026-04-16T17:30:00+00:00,Delhi,IN,30.73,64.81,107.01,16.56,4.12,307.92,0.31,25.75
2026-04-16T18:30:00+00:00,Delhi,IN,32.47,67.09,91.19,22.56,4.79,374.65,0.07,31.32
2026-04-16T19:30:00+00:00,Delhi,IN,35.25,71.52,77.94,25.94,5.8,446.93,0.0,38.41
2026-04-16T20:30:00+00:00,Delhi,IN,38.35,76.72,69.14,28.18,6.84,512.06,0.0,45.85
2026-04-16T21:30:00+00:00,Delhi,IN,40.77,80.02,61.72,28.58,7.53,557.3,0.0,51.79
2026-04-16T22:30:00+00:00,Delhi,IN,43.66,83.58,54.42,29.1,7.96,609.96,0.0,54.85
2026-04-16T23:30:00+00:00,Delhi,IN,45.67,84.83,48.38,28.97,7.73,641.42,0.0,55.35
2026-04-17T00:30:00+00:00,Delhi,IN,46.2,83.33,46.2,25.52,6.73,625.23,0.0,52.89
2026-04-17T01:30:00+00:00,Delhi,IN,47.24,83.08,46.78,20.96,5.75,598.45,0.0,51.18
2026-04-17T02:30:00+00:00,Delhi,IN,49.82,85.14,48.06,17.14,4.97,574.91,0.0,50.94
2026-04-17T03:30:00+00:00,Delhi,IN,52.27,87.43,48.39,14.61,4.35,557.89,0.0,51.49
2026-04-17T04:30:00+00:00,Delhi,IN,54.42,89.97,48.89,12.97,3.9,549.17,0.0,51.89
2026-04-17T05:30:00+00:00,Delhi,IN,56.51,92.65,49.8,12.27,3.57,544.15,0.0,51.67
2026-04-17T06:30:00+00:00,Delhi,IN,57.9,94.96,50.4,13.07,3.54,548.26,0.0,50.32
2026-04-17T07:30:00+00:00,Delhi,IN,58.04,96.8,48.94,17.14,4.04,582.36,0.03,48.22
2026-04-17T08:30:00+00:00,Delhi,IN,55.41,95.77,51.78,21.96,4.5,615.9,0.32,45.7
2026-04-17T09:30:00+00:00,Delhi,IN,50.34,91.18,93.71,14.49,4.07,468.8,0.41,31.33
2026-04-17T10:30:00+00:00,Delhi,IN,49.07,89.93,107.45,12.1,4.14,426.59,0.48,27.66
2026-04-17T11:30:00+00:00,Delhi,IN,50.46,91.9,121.11,10.13,4.25,403.41,0.49,25.73
2026-04-17T12:30:00+00:00,Delhi,IN,43.75,89.53,139.1,3.29,2.2,230.51,0.08,9.22
2026-04-17T13:30:00+00:00,Delhi,IN,41.7,88.87,136.75,1.88,1.73,186.33,0.02,4.94
2026-04-17T14:30:00+00:00,Delhi,IN,40.67,88.79,132.72,1.76,1.7,177.83,0.01,4.21
2026-04-17T15:30:00+00:00,Delhi,IN,38.98,83.49,128.91,2.11,1.83,177.51,0.03,4.74
2026-04-17T16:30:00+00:00,Delhi,IN,37.5,77.69,125.57,3.07,1.92,184.89,0.08,6.56
2026-04-17T17:30:00+00:00,Delhi,IN,36.58,74.38,123.48,4.31,1.96,196.6,0.11,8.48
2026-04-17T18:30:00+00:00,Delhi,IN,37.0,74.14,112.83,8.5,2.26,237.72,0.07,14.58
2026-04-17T19:30:00+00:00,Delhi,IN,39.14,77.41,97.73,13.48,3.0,307.95,0.0,23.22
2026-04-17T20:30:00+00:00,Delhi,IN,41.36,81.09,86.49,16.91,3.61,372.06,0.0,29.49
2026-04-17T21:30:00+00:00,Delhi,IN,42.97,83.31,76.35,18.97,3.99,421.29,0.0,33.89
